Method	Index	Dataset	ID	Keywords	Question	Skip	Result	Time
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	1	cosmonauts	Give me all cosmonauts.	no	Wrong answer	2709
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	10	Ganges, start, country	In which country does the Ganges start?	no	Wrong answer	931
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	102	John F. Kennedy, vice president	Who was John F. Kennedy's vice president?	no	Correct answer	5320
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	103	Tel Aviv, mayor	Who is the mayor of Tel Aviv?	no	Wrong answer	1015
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	104	Free University, Amsterdam, students	How many students does the Free University in Amsterdam have?	no	Wrong answer	4381
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	106	professional, skateboarder, Sweden	Give me all professional skateboarders from Sweden.	no	Wrong answer	8259
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	109	bandleader, play, trumpet	Give me a list of all bandleaders that play trumpet.	no	Wrong answer	855
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	11	country, cave, more than ten	Which countries have more than ten caves?	no	Wrong answer	577
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	200	produce, Orangina	Who produces Orangina?	no	Wrong answer	3890
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	114	member, Prodigy	Give me all members of Prodigy.	no	Wrong answer	556
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	118	Mars rover Curiosity, main discoveries	What were the main discoveries of the Mars rover Curiosity?	no	Wrong answer	570
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	119	people, born, Vienna, die, Berlin	Give me all people that were born in Vienna and died in Berlin.	no	Wrong answer	9833
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	120	tall, Michael Jordan	How tall is Michael Jordan?	no	Wrong answer	1578
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	121	capital, Canada	What is the capital of Canada?	no	Wrong answer	19096
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	128	movie, direct, Francis Ford Coppola	Give me all movies directed by Francis Ford Coppola.	no	Wrong answer	1232
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	129	actor, starring, movie, direct, William Shatner	Give me all actors starring in movies directed by William Shatner.	no	Wrong answer	3987
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	130	birth name, Angela Merkel	What is the birth name of Angela Merkel?	no	Wrong answer	565
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	133	nonprofit organization, Australia	Give me all Australian nonprofit organizations.	no	Wrong answer	575
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	134	Lawrence of Arabia, military conflict	In which military conflicts did Lawrence of Arabia participate?	no	Wrong answer	16080
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	135	Minecraft, develop	Who developed Minecraft?	no	Partial answer	839
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	138	Maribor, inhabitants	How many inhabitants does Maribor have?	no	Wrong answer	956
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	139	company, Munich	Give me all companies in Munich.	no	Wrong answer	6860
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	14	Amazon Eve, tall	How tall is Amazon Eve?	no	Correct answer	1088
A	english_dbpedia_no_synonyms	qald-6-train-multilingual.json	140	game, GMT	List all games by GMT.	no	Wrong answer	838
